enrollment_date,t,calendar_week,dead0,alive0,h0,dead2,alive2,h2,dead3,alive3,h3,HR20,HR30,edge_sameweek0,edge_sameweek2,edge_sameweek3
2021-11-29,20,2022-04-18,587,4957638,0.00011841016913102199,316,1886300,0.00016753775735822333,67,135526,0.0004944923251490081,1.4148933202927967,4.176096772582493,0,0,0
2021-11-29,21,2022-04-25,575,4956169,0.00011602375897098964,275,1873878,0.00014676525404328826,84,135459,0.0006203061852902792,1.2649586200700942,5.346372077510257,0,0,0
2021-11-29,22,2022-05-02,619,4954602,0.00012494215890669258,261,1861201,0.000140241866403164,68,135374,0.0005024383141016982,1.122454323107201,4.021367315070341,0,0,0
2021-11-29,23,2022-05-09,567,4953092,0.00011448050144059667,271,1850169,0.00014648383420326589,90,135306,0.0006653802893700743,1.2795526955240983,5.8121713391982,0,0,0
2021-11-29,24,2022-05-16,498,4951646,0.00010057767543576592,270,1839623,0.00014677997382138118,75,135216,0.0005548219718662496,1.4593693201342919,5.516353101843038,0,0,0
2021-11-29,25,2022-05-23,485,4950324,9.797818488196384e-05,237,1830516,0.0001294800721324612,54,135141,0.00039966251253602074,1.3215194003486417,4.079096923641744,0,0,0
2021-12-06,0,2021-12-06,1314,5200944,0.0002526783631347791,1032,4530645,0.00022780808327159846,58,280852,0.00020653579018159947,0.9015733695808582,0.8173861331824163,4,15,0
2021-12-06,1,2021-12-13,1243,5163117,0.00024077502944168646,876,4193064,0.0002089382652273208,51,280792,0.00018164560280596072,0.8677738123916366,0.7544204364844804,1,19,0
2021-12-06,2,2021-12-20,1095,5126010,0.00021363925775764303,797,3872371,0.0002058382395056098,65,280741,0.00023155693643208861,0.963485090081698,1.0838688491174773,0,18,0
2021-12-06,3,2021-12-27,1032,5105508,0.0002021550677286636,689,3683147,0.00018708578643832042,69,280670,0.00024587053436794375,0.9254568215397426,1.2162471964242612,2,8,0
2021-12-06,4,2022-01-03,928,5086213,0.00018247066510255092,574,3473035,0.00016528697196188058,73,280600,0.00026019065349492944,0.9058276401249874,1.4259314139546697,3,6,0
2021-12-06,5,2022-01-10,863,5053563,0.0001707851857996349,576,3072757,0.00018747137943038545,56,280525,0.0001996456296716231,1.0977028162754512,1.1689868107521177,1,6,0
2021-12-06,6,2022-01-17,751,5023887,0.00014949702044051905,523,2707385,0.00019319399415164475,81,280467,0.00028884574233587493,1.292293275025582,1.932117051461899,0,4,0
2021-12-06,7,2022-01-24,732,5003556,0.0001463066566141942,437,2480557,0.00017618562995752997,87,280386,0.00031033468239113167,1.2042215578893696,2.121124831725695,2,2,0
2021-12-06,8,2022-01-31,873,4990332,0.00017495356410307747,494,2310584,0.00021382162077742168,78,280298,0.00027831398992888716,1.2221621312695539,1.590787769061468,1,4,0
2021-12-06,9,2022-02-07,858,4981867,0.00017223942205468244,486,2200705,0.000220862710637886,77,280219,0.0002748228391506457,1.2823005790612017,1.5955861664665547,2,3,0
2021-12-06,10,2022-02-14,827,4977014,0.00016617769537719725,445,2136966,0.0002082608425430165,102,280142,0.00036416736391832824,1.2532418509613887,2.1914334718129624,0,0,0
